,station,week,zaterdag,zondag,lat,lng,station_link
0,AALST,7733,1758,1589,50.9427068,4.039143,Aalst
1,AALST-KERREBROEK,27,9,9,50.9483067,4.0248553,Aalst-Kerrebroek
2,AALTER,1957,526,536,51.0922263,3.4495495000000003,Aalter
3,AARSCHOT,5660,1414,1104,50.9847169,4.8242503,Aarschot
4,AARSELE,24,9,9,50.9846045,3.4183273,Aarsele
5,ACREN,199,37,29,50.73320589999999,3.8471529,Acren
6,AISEAU,64,24,14,50.42945020000001,4.5845289000000005,Aiseau
7,ALKEN,464,151,305,50.88672469999999,5.292618600000001,Alken
8,AMAY,253,77,72,50.546126,5.3206489,Amay
9,AMPSIN,133,29,28,50.5391793,5.289769499999999,Ampsin
10,ANDENNE,1584,451,430,50.4967023,5.0952739000000005,Andenne
11,ANGLEUR,676,179,83,50.6131758,5.599849499999999,Angleur
12,ANS,1094,141,125,42.274044,-83.748498,
13,ANSEREMME,52,67,55,50.2372078,4.904729,Anseremme
14,ANTOING,260,105,138,50.5692876,3.4516359,Antoing
15,ANTOING,260,105,138,50.5692876,3.4516359,Haute-Picardie TGV
16,ANTWERPEN-BERCHEM,15145,5549,6078,51.2001783,4.4327702,Antwerpen-Oost
17,ANTWERPEN-BERCHEM,15145,5549,6078,51.2001783,4.4327702,Antwerpen-Berchem
18,ANTWERPEN-CAAL,33614,19260,16539,51.21719179999999,4.4212529,Antwerpen-Centraal
19,ANTWERPEN-LUCHTBAL,163,82,41,51.2450124,4.4249,Antwerpen-Luchtbal
20,ANTWERPEN-NOORDERDOKKEN,53,19,7,51.261686,4.4274315,Antwerpen-Noorderdokken
21,ANTWERPEN-ZUID,1769,257,205,51.1978459,4.3902715,Antwerpen-Zuid
22,ANZEGEM,210,9,9,50.82638499999999,3.495013,Anzegem
23,APPELTERRE,205,43,33,50.8135623,3.972929999999999,Appelterre
24,ARCHENNES,113,39,36,50.7541154,4.6625779000000005,Archennes
25,ARLON,4116,1003,1923,49.6804268,5.809418599999999,Arlon
26,ARLON,4116,1003,1923,49.6804268,5.809418599999999,Mersch
27,ARLON,4116,1003,1923,49.6804268,5.809418599999999,Ettelbréck
28,ASSE,1144,165,170,50.9060327,4.2081262000000015,Asse
29,ASSESSE,634,30,25,50.3683651,5.0226231,Assesse
30,ATH,5339,928,937,50.6271876,3.7771893,Ath
31,ATHUS,986,411,118,49.56394030000001,5.8290473,Mulhouse
32,ATHUS,986,411,118,49.56394030000001,5.8290473,Saint-Louis-Haut-Rhin
33,ATHUS,986,411,118,49.56394030000001,5.8290473,Landry
34,ATHUS,986,411,118,49.56394030000001,5.8290473,Colmar
35,ATHUS,986,411,118,49.56394030000001,5.8290473,Saverne
36,ATHUS,986,411,118,49.56394030000001,5.8290473,Rodange
37,ATHUS,986,411,118,49.56394030000001,5.8290473,Metz
38,ATHUS,986,411,118,49.56394030000001,5.8290473,Nice Ville
39,ATHUS,986,411,118,49.56394030000001,5.8290473,Thionville
40,ATHUS,986,411,118,49.56394030000001,5.8290473,Bourg-Saint-Maurice
41,ATHUS,986,411,118,49.56394030000001,5.8290473,Strasbourg
42,ATHUS,986,411,118,49.56394030000001,5.8290473,Athus
43,ATHUS,986,411,118,49.56394030000001,5.8290473,Cannes
44,ATHUS,986,411,118,49.56394030000001,5.8290473,Bertrange Strassen
45,ATHUS,986,411,118,49.56394030000001,5.8290473,Albertville
46,ATHUS,986,411,118,49.56394030000001,5.8290473,Moûtiers-Salins-Brides-les-Bai
47,ATHUS,986,411,118,49.56394030000001,5.8290473,Saint-Raphaël-Valescure
48,ATHUS,986,411,118,49.56394030000001,5.8290473,Mamer
49,ATHUS,986,411,118,49.56394030000001,5.8290473,Basel
50,ATHUS,986,411,118,49.56394030000001,5.8290473,Selestat
51,ATHUS,986,411,118,49.56394030000001,5.8290473,Mamer-Lycée
52,ATHUS,986,411,118,49.56394030000001,5.8290473,Aime-la-Plagne
53,ATHUS,986,411,118,49.56394030000001,5.8290473,Antibes
54,ATHUS,986,411,118,49.56394030000001,5.8290473,Les Arcs - Draguignan
55,ATHUS,986,411,118,49.56394030000001,5.8290473,Lëtzebuerg
56,AUBANGE,67,9,9,49.5636985,5.799286599999999,Aubange
57,AUVELAIS,616,223,165,50.4489215,4.631399299999999,Auvelais
58,AYE,48,12,25,50.22437129999999,5.3011227,Aye
59,AYWAILLE,174,88,107,50.4729165,5.6729552000000005,Aywaille
60,BAASRODE-ZUID,117,9,9,51.0194998,4.153760699999999,Baasrode-Zuid
61,BALEGEM-DORP,243,70,50,50.9197233,3.791477,Balegem-Dorp
62,BALEGEM-ZUID,153,9,9,50.9002156,3.8059565,Balegem-Zuid
63,BALEN,250,72,62,51.1690547,5.165150199999999,Balen
64,BAMBRUGGE,51,9,9,50.913621,3.9356871,Bambrugge
65,BARVAUX,328,170,133,50.34939470000001,5.501763299999999,Barvaux
66,BAS-OHA,65,16,6,50.52317470000001,5.1921669,Bas-Oha
67,BASSE-WAVRE,465,62,44,50.72446919999999,4.622171400000001,Basse-Wavre
68,BEAURAING,234,102,150,50.11436,4.9567068,Beauraing
69,BEERNEM,652,188,234,51.12812419999999,3.3292576,Beernem
70,BEERSEL,271,9,9,50.7665814,4.3025531,Beersel
71,BEERVELDE,232,9,9,51.08702020000001,3.8795594,Beervelde
72,BEGIJNENDIJK,257,76,93,51.0225608,4.7994705,Begijnendijk
73,BEIGNEE,19,9,9,50.33387279999999,4.406464199999999,Beignée
74,BELLEM,204,50,40,51.0836413,3.4883369,Bellem
75,BELSELE,233,63,56,51.1509842,4.0878212,Belsele
76,BERCHEM-ST-AG.-BERCHEM,815,126,131,51.189856,4.432951,
77,BERINGEN,89,28,24,51.0506,5.235889999999999,Beringen
78,BERLAAR,345,129,205,51.1135946,4.638903900000002,Berlaar
79,BERTRIX,423,161,157,49.8530369,5.267417900000001,Bertrix
80,BERZEE,193,33,23,50.28555050000001,4.406217,Berzée
81,BEUZET,131,22,12,50.534024,4.7485269,Beuzet
82,BEVEREN,937,130,137,51.2083732,4.259547599999999,Beveren
83,BEVERLO,143,43,50,51.08863909999999,5.234468199999999,Beverlo
84,BIERGES-WALIBI,85,623,584,50.7083648,4.596190900000002,Bierges-Walibi
85,BIERSET-AWANS,140,40,29,50.6581661,5.4571017999999984,Bierset-Awans
86,BILZEN,573,219,247,50.8684987,5.5095122000000005,Bilzen
87,BINCHE,565,313,269,50.40888620000001,4.1728774,Binche
88,BISSEGEM,172,69,88,50.8260703,3.2252219,Bissegem
89,BLANKENBERGE,1455,997,1761,51.31258099999999,3.1336659,Blankenberge
90,BLANMONT,199,25,29,50.6204273,4.6358875,Blanmont
91,BLATON,516,140,141,50.5052542,3.6663199,Blaton
92,BLERET,63,9,9,50.6853562,5.2857178,Bleret
93,BOCKSTAEL,899,101,87,50.87926479999999,4.349216699999999,Bockstael
94,BOECHOUT,472,109,137,51.16378109999999,4.494249900000002,Boechout
95,BOITSFORT/BOSVOORDE,738,109,117,50.7951005,4.407659400000001,Bosvoorde/Boitsfort
96,BOKRIJK,116,73,95,50.9558456,5.4085681,Bokrijk
97,BOMAL,247,93,88,50.3768633,5.519568899999999,Sy
98,BOMAL,247,93,88,50.3768633,5.519568899999999,Bomal
99,BOOISCHOT,260,86,66,51.0372304,4.773801499999999,Booischot
100,BOOM,204,9,9,51.0906309,4.360568199999999,Boom
101,BOONDAEL/BOONDAAL,860,9,9,50.80154829999999,4.3931452,Boondaal/Boondael
102,BOORTMEERBEEK,539,104,129,50.9819739,4.5735163,Boortmeerbeek
103,BORDET,556,9,9,50.87767969999999,4.4098916,Bordet
104,BORNEM,698,185,221,51.0993852,4.2399179,Bornem
105,BOUSSU,249,51,61,50.4361857,3.7968443,Boussu
106,BOUWEL,459,108,141,51.1656412,4.7464856,Bouwel
107,BRACQUEGNIES,117,34,24,50.47419429999999,4.125355600000002,Bracquegnies
108,BRAINE-l'ALLEUD,5319,1292,803,50.68495470000001,4.3756865,Braine-l'Alleud
109,BRAINE-LE-COMTE,4998,1333,1224,50.60575790000001,4.1382572999999985,Braine-le-Comte
110,BRESSOUX,175,24,27,50.6438683,5.6114925000000015,Bressoux
111,BRU.-CONG.,736,9,9,50.8521292999,4.361865,Brussel-Congres/Bruxelles-Congrès
112,BRU.-CENT.,61099,18923,19143,50.8454872,4.3570163,Brussel-Centraal/Bruxelles-Central
113,BRU.-CHAP./KAP.,128,9,9,50.8412518,4.3485157,Brussel-Kapellekerk/Bruxelles-Chapelle
114,BRU.-LUXEMBG,7109,1408,1324,50.837951,4.3735317,Mouterij/Germoir
115,BRU.-LUXEMBG,7109,1408,1324,50.837951,4.3735317,Brussel-Luxemburg/Bruxelles-Luxembourg
116,BRU.-MIDI/ZUID,62545,19347,21453,50.83644109999999,4.3347878,Brussel-Zuid/Bruxelles-Midi
117,BRU.-NAT-LUCHTHAVEN,7983,5221,5937,50.8984736,4.4828741999,Brussels Airport - Zaventem
118,BRU.-NOORD/NORD,63104,18128,16815,50.8605262,4.3617873,Thurn en Taxis/Tour et Taxis
119,BRU.-NOORD/NORD,63104,18128,16815,50.8605262,4.3617873,Brussel-Noord/Bruxelles-Nord
120,BRU.-SCHUMAN,6501,1235,1140,50.84238060000001,4.3783907,Brussel-Schuman/Bruxelles-Schuman
121,BRU.-WEST/OUEST,78,28,28,50.84909879999999,4.3214938,Brussel-West/Bruxelles-Ouest
122,BRUGELETTE,229,30,24,50.59418059999999,3.8526717000000006,Brugelette
123,BRUGGE,18095,11409,12782,51.1976659,3.2178509,Brugge
124,BRUGGE-SINT-PIETERS,65,8,10,51.22310599999999,3.2018369,Brugge-Sint-Pieters
125,BUDA,57,9,9,44.96372,25.9257871,
126,BUGGENHOUT,478,134,176,51.0163675,4.201228899999999,Buggenhout
127,BUIZINGEN,407,68,82,50.7508491,4.2578355000000006,Buizingen
128,BURST,1063,113,124,50.9071148,3.9214651,Burst
129,CALLENELLE,26,9,9,50.5308842,3.5195729,Callenelle
